2013 BMW M6 Coupe,"14,000 mi · Automatic · LHD · Original & Highly Original","Nashville-Davidson, TN, USA","$43,200
SOLD",Bring a Trailer,Auction,"Nov 17, 2022"
2006 BMW M6 Convertible,"45,751 km (28,428 mi) · Automatic · RHD · Original & Highly Original","Ballarat, VIC, AUS","AUD48,000
SOLD",Collecting Cars,Auction,"Nov 14, 2022"
2007 BMW M6 Convertible,"61,000 mi · Automatic · LHD · Original & Highly Original","Las Vegas, NV, USA","$27,500
SOLD",Mecum,Auction,"Nov 12, 2022"
2007 BMW 650I Convertible,"75,581 mi · Automatic · LHD · Original & Highly Original","Las Vegas, NV, USA","$14,300
SOLD",Mecum,Auction,"Nov 10, 2022"
1987 BMW M6,"146,000 mi · Manual · LHD · Original & Highly Original","Winchester, VA, USA","$20,666
SOLD",Bring a Trailer,Auction,"Nov 9, 2022"
1986 BMW 635CSI 5-Speed,TMU · Manual · LHD · Restored-Original,"Aylett, VA, USA","$16,635
SOLD",Bring a Trailer,Auction,"Nov 7, 2022"
2005 BMW 645CI Convertible,"11,000 mi · Automatic · LHD · Original & Highly Original","Columbus, OH, USA","$20,000
SOLD",Bring a Trailer,Auction,"Nov 7, 2022"
2008 BMW M6 6-Speed,"58,000 mi · Manual · LHD · Original & Highly Original","Moonachie, NJ, USA","$39,000
SOLD",Bring a Trailer,Auction,"Nov 2, 2022"
2007 BMW 650I Coupe,"98,600 mi · Automatic · LHD · Modified","Fullerton, CA, USA","$12,600
SOLD",Cars & Bids,Auction,"Oct 31, 2022"
2009 BMW M6 Convertible 6-Speed,"24,000 mi · Manual · LHD · Original & Highly Original","Lower Merion Township, PA, USA","$63,500
SOLD",Bring a Trailer,Auction,"Oct 31, 2022"
2016 BMW 640I xDrive,"50,250 mi · Automatic · LHD · Original & Highly Original","Village of New Hyde Park, NY, USA",SOLD,Imperial Motorcars,Fixed-price,"Oct 29, 2022"
2006 BMW 650I Convertible 6-Speed,"40,000 mi · Manual · LHD · Original & Highly Original","Albuquerque, NM, USA","$26,000
SOLD",Bring a Trailer,Auction,"Oct 22, 2022"
1988 BMW M6,"97,000 mi · Manual · LHD · Original & Highly Original","Portland, OR, USA",SOLD,Avant Garde Collection,Fixed-price,"Oct 22, 2022"
2008 BMW 650I,Automatic · LHD,"Houston, TX, USA","$15,400
SOLD",Barrett-Jackson,Auction,"Oct 21, 2022"
2005 BMW 645CI Convertible,Automatic · LHD · Original & Highly Original,"Houston, TX, USA","$22,550
SOLD",Barrett-Jackson,Auction,"Oct 20, 2022"
2005 BMW 645CI,Automatic · LHD · Original & Highly Original,"Houston, TX, USA","$20,350
SOLD",Barrett-Jackson,Auction,"Oct 20, 2022"
2006 BMW 650I Convertible,"71,930 mi · Automatic · LHD · Original & Highly Original","Houston, TX, USA","$18,700
SOLD",Barrett-Jackson,Auction,"Oct 20, 2022"
2006 BMW M6,Automatic · LHD · Original & Highly Original,"Houston, TX, USA","$20,350
SOLD",Barrett-Jackson,Auction,"Oct 20, 2022"
2004 BMW 645 CI,"184,000 km (114,332 mi) · Automatic · LHD · Original & Highly Original",Netherlands,"€14,000
SOLD",Catawiki,Auction,"Oct 19, 2022"
2006 BMW M6 Coupe,"64,000 mi · Automatic · LHD · Original & Highly Original","Weatherby Lake, MO, USA","$26,500
SOLD",Bring a Trailer,Auction,"Oct 18, 2022"
