2002 BMW X5 4.6IS,"104,000 mi · Automatic · LHD · Original & Highly Original","Hamilton County, TN, USA","$10,000
SOLD",Bring a Trailer,Auction,"May 18, 2022"
2007 BMW X5 4.8I,"26,000 mi · Automatic · LHD · Original & Highly Original","Walworth County, WI, USA","$23,250
SOLD",Bring a Trailer,Auction,"May 13, 2022"
2005 BMW X5 3.0I,"127,000 mi · Manual · LHD · Original & Highly Original","Littleton, CO, USA","$9,000
SOLD",Cars & Bids,Auction,"May 10, 2022"
2017 BMW X5 M,"34,944 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"May 9, 2022"
2018 BMW X5 M,"30,827 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"May 6, 2022"
2001 BMW X5 4.4I Neiman Marcus Edition,"31,000 mi · Automatic · LHD · Original & Highly Original","Pompano Beach, FL, USA","$22,750
SOLD",Bring a Trailer,Auction,"May 5, 2022"
2021 BMW X5 XDRIVE40I,"23,595 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"May 3, 2022"
2015 BMW X5 XDRIVE35I,"106,126 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"May 3, 2022"
2002 BMW X5 4.6IS,"144,900 mi · Automatic · LHD · Original & Highly Original","El Paso County, CO, USA","$9,900
SOLD",Cars & Bids,Auction,"Apr 29, 2022"
2021 BMW X5 XDRIVE40I,"28,336 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Apr 19, 2022"
2016 BMW X5 XDRIVE35I M Sport,"92,163 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Apr 2, 2022"
2012 BMW X5 xDrive 50I,Automatic · LHD · Original & Highly Original,"Houston, TX, USA","$27,000
SOLD",Mecum,Auction,"Apr 1, 2022"
2006 BMW X5 4.8IS,"156,000 km (96,934 mi) · Automatic · LHD · Original & Highly Original","Montreal, QC, CAN","CAD11,000
SOLD",Fast Car Bids,Auction,"Apr 1, 2022"
2012 BMW X5 M,"90,500 mi · Automatic · LHD · Original & Highly Original","Lutherville-Timonium, MD, USA","$21,750
SOLD",Cars & Bids,Auction,"Mar 28, 2022"
2012 BMW X5 XDRIVE35D,"76,204 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Mar 26, 2022"
2012 BMW X5,Automatic · LHD · Original & Highly Original,"Glendale, AZ, USA","$15,000
SOLD",Mecum,Auction,"Mar 19, 2022"
2018 BMW X5 M,"33,799 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Mar 11, 2022"
2001 BMW X5 3.0I Sports Activity Vehicle,"21,773 mi · Automatic · LHD · Original & Highly Original","Pinellas County, FL, USA","$18,250
SOLD",Hemmings,Auction,"Mar 10, 2022"
2008 BMW X5 4.8I,"110,100 mi · Automatic · LHD · Original & Highly Original","Irvine, CA, USA","$7,400
SOLD",Cars & Bids,Auction,"Mar 9, 2022"
2005 BMW X5 3.0I 6-Speed,TMU · Manual · LHD · Modified,"Wylie, TX, USA","$6,950
SOLD",Bring a Trailer,Auction,"Feb 24, 2022"
2002 BMW X5 4.6IS,"125,800 mi · Automatic · LHD · Modified","Alpharetta, GA, USA","$9,600
SOLD",Cars & Bids,Auction,"Feb 15, 2022"
2018 BMW X5 M,"15,497 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Feb 5, 2022"
2022 BMW X5 M Competition,"4,643 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Feb 4, 2022"
2005 BMW X5 3.0I 6-Speed,"122,000 mi · Manual · LHD · Original & Highly Original","Vero Beach, FL, USA","$15,750
SOLD",Bring a Trailer,Auction,"Feb 2, 2022"
2003 BMW X5 4.4I,"35,000 mi · Automatic · LHD · Original & Highly Original","Bergen County, NJ, USA","$21,100
SOLD",Bring a Trailer,Auction,"Jan 28, 2022"
2003 BMW X5 4.6IS,"68,400 mi · Automatic · LHD · Original & Highly Original","Punta Gorda, FL, USA","$17,000
SOLD",Cars & Bids,Auction,"Jan 26, 2022"
2003 BMW X5 4.6IS,"75,802 mi · Automatic · LHD · Original & Highly Original","New York, NY, USA","$15,800
SOLD",PCARMARKET,Auction,"Jan 21, 2022"
2007 BMW X5,"197,620 mi · Automatic · LHD · Original & Highly Original","Kissimmee, FL, USA","$8,000
SOLD",Mecum,Auction,"Jan 16, 2022"
2018 BMW X5 M,"36,647 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Jan 2, 2022"
2005 BMW X5 4.8IS,"137,000 km (85,128 mi) · Automatic · LHD · Original & Highly Original","Calgary, AB, CAN","CAD14,500
SOLD",Fast Car Bids,Auction,"Dec 27, 2021"
2004 BMW X5 3.0I,"201,200 mi · Manual · LHD · Modified","Malvern, PA, USA","$7,153
SOLD",Cars & Bids,Auction,"Dec 15, 2021"
2018 BMW X5 M,"24,579 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Dec 7, 2021"
