1995 BMW 540I,"96,228 mi · Automatic · LHD · Original & Highly Original","Oakland County, MI, USA",SOLD,GR Auto Gallery,Fixed-price,"Nov 18, 2022"
2002 BMW M5,"79,000 mi · Manual · LHD · Modified","Arroyo Grande, CA, USA","$31,000
SOLD",Bring a Trailer,Auction,"Nov 18, 2022"
1988 BMW M5,"127,000 mi · Manual · LHD · Restored-Modified","Dripping Springs, TX, USA","$43,750
SOLD",Bring a Trailer,Auction,"Nov 17, 2022"
2022 BMW M5 CS,"2,100 mi · Automatic · LHD · Original & Highly Original","Travis County, TX, USA","$146,000
SOLD",Bring a Trailer,Auction,"Nov 17, 2022"
2003 BMW 540I M Sport,"112,000 mi · Automatic · LHD · Original & Highly Original","Raleigh, NC, USA","$13,000
SOLD",Bring a Trailer,Auction,"Nov 17, 2022"
2001 BMW M5,"75,000 mi · Manual · LHD · Original & Highly Original","Hillsborough, CA, USA","$41,500
SOLD",Bring a Trailer,Auction,"Nov 17, 2022"
2006 BMW M5,"79,000 mi · Automatic · LHD · Original & Highly Original","Orem, UT, USA","$14,500
SOLD",Bring a Trailer,Auction,"Nov 16, 2022"
2000 BMW 540I 6-Speed,"82,000 mi · Manual · LHD · Original & Highly Original","Los Altos Hills, CA, USA","$13,000
SOLD",Bring a Trailer,Auction,"Nov 16, 2022"
1986 BMW 535I 5-Speed,"254,000 mi · Manual · LHD · Restored-Modified","Piedmont, CA, USA","$21,500
SOLD",Bring a Trailer,Auction,"Nov 16, 2022"
2021 BMW M550I xDrive,"20,073 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Nov 15, 2022"
2016 BMW 535I,"94,093 mi · Automatic · LHD · Original & Highly Original","Miami, FL, USA",SOLD,Sport Cars Miami,Fixed-price,"Nov 15, 2022"
2007 BMW M5 Touring,"91,780 mi · Automatic · RHD · Original & Highly Original","Horsham, GBR","£18,888
SOLD",Collecting Cars,Auction,"Nov 15, 2022"
2002 BMW 540I Sedan,"55,700 mi · Manual · LHD · Original & Highly Original","Pikesville, MD, USA","$15,350
SOLD",Cars & Bids,Auction,"Nov 15, 2022"
2018 BMW M5,"16,900 mi · Automatic · LHD · Original & Highly Original","Fort Lauderdale, FL, USA","$69,507
SOLD",Cars & Bids,Auction,"Nov 15, 2022"
1978 BMW 530I 4-Speed,"79,000 mi · Manual · LHD · Original & Highly Original","Vancouver, BC, CAN","$9,000
SOLD",Bring a Trailer,Auction,"Nov 15, 2022"
2008 BMW M5,"91,170 mi · Manual · LHD · Modified","Tempe, AZ, USA",SOLD,Canyon State Classics,Fixed-price,"Nov 15, 2022"
2001 BMW 540I,"99,160 mi · Manual · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Nov 14, 2022"
2005 BMW 545I Sport,"50,000 mi · Automatic · LHD · Original & Highly Original","Mono County, CA, USA","$14,139
SOLD",Bring a Trailer,Auction,"Nov 14, 2022"
2008 BMW M5 6-Speed,"91,000 mi · Manual · LHD · Modified","Tempe, AZ, USA","$46,750
SOLD",Bring a Trailer,Auction,"Nov 12, 2022"
1995 BMW 540I m-Sport 6-Speed,"152,000 mi · Manual · LHD · Original & Highly Original","Gladstone, OR, USA","$18,250
SOLD",Bring a Trailer,Auction,"Nov 12, 2022"
2010 BMW 535D Touring M Sport,"66,145 mi · Automatic · RHD · Modified","Birmingham, GBR","£12,937
SOLD",Silverstone (UK),Auction,"Nov 12, 2022"
2000 BMW M5 Sedan,"85,000 mi · Manual · LHD · Restored-Original","Las Vegas, NV, USA","$26,400
SOLD",Mecum,Auction,"Nov 11, 2022"
2011 BMW 528I Sedan,"92,967 mi · Automatic · LHD · Original & Highly Original","Las Vegas, NV, USA","$14,850
SOLD",Mecum,Auction,"Nov 10, 2022"
1994 BMW 540I Touring 6-Speed,"463,000 km (287,695 mi) · Manual · LHD · Restored-Modified","Miami, FL, USA","$16,290
SOLD",Bring a Trailer,Auction,"Nov 10, 2022"
2003 BMW M5,"65,000 mi · Manual · LHD · Original & Highly Original","Las Vegas, NV, USA","$41,250
SOLD",Bring a Trailer,Auction,"Nov 10, 2022"
2010 BMW M5,"48,000 mi · Automatic · LHD · Original & Highly Original","Hillsborough, CA, USA","$31,250
SOLD",Bring a Trailer,Auction,"Nov 9, 2022"
2018 BMW M550I xDrive,"19,257 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Nov 8, 2022"
1988 BMW M5,"148,800 mi · Manual · LHD · Restored-Modified","Pasadena, CA, USA","$38,250
SOLD",Cars & Bids,Auction,"Nov 8, 2022"
2018 BMW 530I,"46,519 mi · Automatic · LHD · Original & Highly Original","Miami, FL, USA",SOLD,Sport Cars Miami,Fixed-price,"Nov 7, 2022"
2015 BMW 528I xDrive,"104,386 mi · Automatic · LHD · Original & Highly Original","Moonachie, NJ, USA",SOLD,Vantage Auto The Collection,Fixed-price,"Nov 5, 2022"
2004 BMW 530I,"155,000 mi · Automatic · LHD · Original & Highly Original","Miami, FL, USA",SOLD,Sport Cars Miami,Fixed-price,"Nov 5, 2022"
2008 BMW 535XI Sports Wagon 6-Speed,"107,000 mi · Manual · LHD · Original & Highly Original","Kirkland, WA, USA","$25,535
SOLD",Bring a Trailer,Auction,"Nov 4, 2022"
1994 BMW 530I Touring,"82,000 mi · Automatic · LHD · Restored-Original","Santa Monica, CA, USA","$11,500
SOLD",Bring a Trailer,Auction,"Nov 3, 2022"
1995 BMW 540I m-Sport,"337,439 km (209,675 mi) · Manual · LHD · Restored-Original","Raseborg, FIN","€14,250
SOLD",Collecting Cars,Auction,"Nov 2, 2022"
2015 BMW M5,"62,400 mi · Automatic · RHD · Original & Highly Original","Guildford, GBR","£21,501
SOLD",Collecting Cars,Auction,"Nov 2, 2022"
1983 BMW 533I 5-Speed,TMU · Manual · LHD · Restored-Modified,"Dallas, TX, USA","$17,500
SOLD",Bring a Trailer,Auction,"Nov 2, 2022"
2001 BMW 525I,"56,000 mi · Automatic · LHD · Original & Highly Original","Moonachie, NJ, USA","$11,500
SOLD",Bring a Trailer,Auction,"Nov 2, 2022"
2003 BMW 540I M Sport 6-Speed,"203,000 mi · Manual · LHD · Original & Highly Original","Royal Oak, MI, USA","$16,700
SOLD",Bring a Trailer,Auction,"Nov 2, 2022"
2001 BMW M5 - Carbon Black,"136,000 km (84,506 mi) · Manual · LHD · Original & Highly Original","Calgary, AB, CAN","CAD36,000
SOLD",Formula Auctions,Auction,"Nov 1, 2022"
1999 BMW 540I Touring,"96,400 mi · Automatic · LHD · Original & Highly Original","Tampa, FL, USA","$10,430
SOLD",Cars & Bids,Auction,"Nov 1, 2022"
1988 BMW M5,"163,000 mi · Manual · LHD · Restored-Original","Los Angeles, CA, USA","$38,500
SOLD",Bring a Trailer,Auction,"Nov 1, 2022"
2000 BMW 540I Sport 6-Speed,"83,000 mi · Manual · LHD · Original & Highly Original","Mahopac, NY, USA","$15,500
SOLD",Bring a Trailer,Auction,"Nov 1, 2022"
2002 BMW M5,"99,000 mi · Manual · LHD · Original & Highly Original","San Jose, CA, USA","$28,654
SOLD",Bring a Trailer,Auction,"Nov 1, 2022"
