1959 BMW Isetta 300,"38,625 km (24,000 mi) · Manual · LHD","Auburn, IN, USA","$18,700
SOLD",RM Sotheby's,Auction,"Sep 3, 2021"
1957 BMW Isetta 300 Project,TMU · Manual · LHD · Project,"Marblehead, MA, USA","$13,250
SOLD",Bring a Trailer,Auction,"Aug 18, 2021"
"1956 BMW Isetta 300 ""Bubble Window""","16,973 mi · Manual · LHD · Restored-Original","Portland, OR, USA","$33,000
SOLD",PCARMARKET,Auction,"Aug 17, 2021"
1957 BMW Isetta 300 Convertible,"8,535 mi · Manual · LHD · Restored-Original","London, GBR","£19,250
SOLD",Collecting Cars,Auction,"Aug 5, 2021"
1958 BMW Isetta 600,"30,825 mi · Manual · LHD · Original & Highly Original","Warwick, GBR","£19,880
SOLD",Historics (UK),Auction,"Jul 17, 2021"
1960 BMW Isetta 300,TMU · Manual · LHD · Restored-Original,"Livingston, NY, USA","$28,000
SOLD",Bring a Trailer,Auction,"Jul 5, 2021"
1957 BMW Isetta,TMU · Manual · LHD · Unable to Determine,"Village of Farmingdale, NY, USA",SOLD,Motorcar Classics,Fixed-price,"Jun 29, 2021"
1957 BMW Isetta,TMU · Manual · LHD · Unable to Determine,"Village of Farmingdale, NY, USA",SOLD,Motorcar Classics,Fixed-price,"Jun 29, 2021"
1957 BMW Isetta 300,Manual · LHD · Restored-Original,"Las Vegas, NV, USA","$17,600
SOLD",Barrett-Jackson,Auction,"Jun 18, 2021"
1957 BMW Isetta Convertible,Manual · LHD · Restored-Original,"Las Vegas, NV, USA","$41,800
SOLD",Barrett-Jackson,Auction,"Jun 18, 2021"
1957 BMW Isetta 300,TMU · Manual · LHD · Restored-Original,"Vaughan, ON, CAN","$41,500
SOLD",Bring a Trailer,Auction,"Jun 16, 2021"
1957 BMW Isetta 300 Bubble Window Convertible,Manual · LHD · Restored-Original,"Indianapolis, IN, USA","$47,300
SOLD",Mecum,Auction,"May 20, 2021"
1958 BMW Isetta 600,TMU,"Port Clinton, OH, USA","$34,000
SOLD",Bring a Trailer,Auction,"Apr 11, 2021"
1959 BMW Isetta 300,"7,891 mi","Longueuil, QC, CAN","$24,000
SOLD",PCARMARKET,Auction,"Apr 8, 2021"
1959 BMW Isetta 300,TMU,"Auburn Hills, MI, USA","$25,250
SOLD",Bring a Trailer,Auction,"Apr 3, 2021"
1956 BMW Isetta 300,,"Scottsdale, AZ, USA","$34,100
SOLD",Barrett-Jackson,Auction,"Mar 24, 2021"
1958 BMW 600,,"Scottsdale, AZ, USA","$44,000
SOLD",Barrett-Jackson,Auction,"Mar 24, 2021"
1960 BMW Isetta 300 Convertible,"16,135 mi","Scottsdale, AZ, USA","$24,200
SOLD",Barrett-Jackson,Auction,"Mar 24, 2021"
1961 BMW Isetta,TMU · Manual · LHD · Restored-Original,"Neuilly-sur-Seine, FRA","€42,840
SOLD",Aguttes,Auction,"Mar 21, 2021"
